Store Name,Street Address,City,State,Zip Code,products,lat,lng
WinCo,895 N. 980 W.,Orem,UT,84057,831||833||2||825,40.31414,-111.72081
WinCo,6060 South 3500 West,Roy,UT,84067,831||833||2||825,41.15333,-112.06202
WinCo,205 W. 12th St.,Ogden,UT,84404,831||833||2||825,41.2422,-111.9815
WinCo,4200 Coffee Rd.,Bakersfield,CA,93308,831||833||2||825,35.39822,-119.09059
WinCo,14338 Foothill Blvd.,Fontana,CA,92336,831||833||2||825,34.10738,-117.49183
WinCo,740 West K4 Ave.,Lancaster,CA,93534,831||833||2||825,34.67194,-118.14501
WinCo,12880 Day St.,Moreno Valley,CA,92553,831||833||2||825,33.93366,-117.27508
WinCo,40435 Winchester Rd.,Temecula,CA,92591,831||833||2||825,33.53091,-117.15372
WinCo,90 Rio Rancho Rd.,Pomona,CA,91766,831||833||2||825,34.02648,-117.76187
WinCo,3939 W. Caldwell Ave.,Visalia,CA,93277,831||833||2||825,36.296,-119.33422
WinCo,3150 N. Case Rd.,Perris,CA,92571,831||833||2||825,33.74594,-117.19028
WinCo,19047 Bear Valley Rd.,Apple Valley,CA,92308,831||833||2||825,34.46865,-117.24764
WinCo,42-600 Jackson St.,Indio,CA,92203,831||833||2||825,33.74338,-116.21599
WinCo,15350 Roy Rogers Dr.,Victorville,CA,92393,831||833||2||825,34.523,-117.32902
WinCo,4602 W. Florida Ave.,Hemet,CA,92545,831||833||2||825,33.74538,-117.02131
WinCo,2335 NW Kings Blvd.,Corvallis,OR,97330,831||833||2||825,44.59095,-123.27465
WinCo,636 W. Harris,Eureka,CA,95501,831||833||2||825,40.78038,-124.16192
WinCo,11250 SE 82nd Ave.,Happy Valley,OR,97086,831||833||2||825,45.44345,-122.57811
WinCo,1222 NE 102nd. Ave.,Portland,OR,97220,831||833||2||825,45.53125,-122.55663
WinCo,3025 SW Cedar Hills Blvd.,Beaverton,OR,97005,831||833||2||825,45.49813,-122.80977
WinCo,1950 NE 122nd Ave.,Portland,OR,97230,831||833||2||825,45.53644,-122.53633
WinCo,1240 Lancaster Dr. SE,Salem,OR,97317,831||833||2||825,44.91378,-122.97604
WinCo,4575 SE Commerical,Salem,OR,97302,831||833||2||825,44.88795,-123.03449
WinCo,9700 NE Hwy 99,Vancouver,WA,98665,831||833||2||825,45.69174,-122.65956
WinCo,7501 Dartmouth St.,Tigard,OR,97223,831||833||2||825,45.43474,-122.75341
WinCo,1500 SW Oak St.,Hillsboro,OR,97123,831||833||2||825,45.51853,-123.00647
WinCo,1920 Olympic St.,Springfield,OR,97477,831||833||2||825,44.06084,-122.99575
Waremart,1737 Monmouth St.,Independence,OR,97351,831||833||2||825,44.85122,-123.21544
WinCo,4275 Barger Drive,Eugene,OR,97402,831||833||2||825,44.08625,-123.16943
WinCo,7330 NE Butler St.,Hillsboro,OR,97124,831||833||2||825,45.53527,-122.90339
WinCo,2585 NE Highway 99W,McMinnville,OR,97128,831||833||2||825,45.22889,-123.17235
WinCo,251 E. Barnett Road,Medford,OR,97501,831||833||2||825,42.31795,-122.86062
WinCo,2511 SE First St.,Gresham,OR,97080,831||833||2||825,45.49862,-122.40783
WinCo,2101 NE Andresen Rd.,Vancouver,WA,98661,831||833||2||825,45.63892,-122.59751
WinCo,905 NE 136th Ave.,Vancouver,WA,98684,831||833||2||825,45.62928,-122.53418
WinCo,11310 NE 119th St.,Vancouver,WA,98662,831||833||2||825,45.70902,-122.55658
WinCo,5110 Montauban Ave.,Stockton,CA,95210,831||833||2||825,38.00483,-121.28401
WinCo,9750 S. Virginia,Reno,NV,89511,831||833||2||825,39.4419,-119.76846
WinCo,2855 Northtowne Lane,Reno,NV,89512,831||833||2||825,39.55353,-119.78393
WinCo,2060 E. 20th St.,Chico,CA,95928,831||833||2||825,39.72895,-121.80025
WinCo,1350 Franklin Rd.,Yuba City,CA,95993,831||833||2||825,39.12608,-121.6377
WinCo,10151 Fairway Dr.,Roseville,CA,95678,831||833||2||825,38.78525,-121.27831
WinCo,4137 Elverta Rd.,Antelope,CA,95843,831||833||2||825,38.71519,-121.36736
WinCo,8142 Sheldon Rd.,Elk Grove,CA,95758,831||833||2||825,38.43597,-121.40634
WinCo,6700 Lone Tree Way,Brentwood,CA,94513,831||833||2||825,37.96396,-121.72921
WinCo,200 Blue Ravine Rd.,Folsom,CA,95630,831||833||2||825,38.65571,-121.17488
WinCo,8701 Green Back Lane,Orangevale,CA,95662,831||833||2||825,38.67952,-121.23376
WinCo,396 West Ashlan Ave.,Clovis,CA,93612,831||833||2||825,36.792,-119.71718
WinCo,1050 Old Alturas Rd.,Redding,CA,96003,831||833||2||825,40.588,-122.3441
WinCo,4488 W. Shaw Ave.,Fresno,CA,93722,831||833||2||825,36.81129,-119.87275
WinCo,855 Davis St. Suite A,Vacaville,CA,95687,831||833||2||825,38.34663,-121.98427
WinCo,2400 North Park Blvd.,Pittsburg,CA,94565,831||833||2||825,38.01143,-121.8576
WinCo,1004 S. Peach Ave.,Fresno,CA,93727,831||833||2||825,36.73307,-119.71928
WinCo,2850 Pavilion Parkway,Tracy,CA,95304,831||833||2||825,37.75909,-121.46811
WinCo,4602 W. Clearwater,Kennewick,WA,99336,831||833||2||825,46.21339,-119.1829
WinCo,3947 116th Street N.E.,Marysville,WA,98271,831||833||2||825,48.10101,-122.17732
WinCo,9518 176th Street E.,Puyallup,WA,98375,831||833||2||825,47.09554,-122.30092
WinCo,1700 W. Pullman Rd.,Moscow,ID,83843,831||833||2||825,46.73262,-117.02464
WinCo,160 SW Campus Dr.,Federal Way,WA,98023,831||833||2||825,47.29246,-122.33588
WinCo,101 Columbia Point Dr.,Richland,WA,99352,831||833||2||825,46.26301,-119.26476
WinCo,21100 91st Place St.,Kent,WA,98031,831||833||2||825,47.41446,-122.21902
WinCo,120 Triangle Center,Longview,WA,98632,831||833||2||825,46.14325,-122.93394
WinCo,9257 N. Nevada St.,Spokane,WA,99218,831||833||2||825,47.74113,-117.39855
